timestamp,cpu_usage,memory_usage,disk_read,disk_write,network_receive,network_transmit,active_processes,cpu_change,memory_change,disk_read_speed,disk_write_speed,network_receive_speed,network_transmit_speed,cpu_rolling,memory_std,cpu_mem_ratio,disk_cpu_ratio,high_cpu,high_memory,hour,day_of_week
59:16.2,59.47687211,41.26835091,36963328,1630208,1008159125,12161903,1,18.03471152,4.745354163,0,0,0,978,54.90372714,7.460328405,1.441222409,611197.7473,0,0,16,2
00:07.1,77.63871257,33.86118158,22537216,528384,57833,32280,1,18.16184046,-7.407169339,-14426112,-1101824,-1008101292,-12129623,56.38724261,9.255529268,2.292853024,286591.8739,0,0,17,2
01:05.3,91.28114004,39.5270945,22537216,548864,59327,33680,1,13.64242747,5.665912926,0,20480,1494,1400,62.91961097,7.983339611,2.309330883,244223.4241,1,0,17,2
02:31.6,91.08324179,49.46912914,22537216,548864,127364,58462,1,-0.197898245,9.942034641,0,0,68037,24782,72.18442542,5.941111587,1.841213771,244748.2904,1,0,17,2
03:04.6,89.63796242,65.82695332,22537216,548864,949166,674203,1,-1.445279378,16.35782418,0,0,821802,615741,81.82358579,12.41753205,1.361721269,248650.9559,1,0,17,2
04:02.9,82.79803236,41.4394922,22537216,548864,1335890,749608,1,-6.839930059,-24.38746112,0,0,386724,75405,86.48781784,12.40148698,1.9980465,268946.84,1,0,17,2
05:04.5,80.64183357,37.54422011,22537216,548864,134608789,1310334,1,-2.156198787,-3.895272093,0,0,133272899,560726,87.08844203,11.58060236,2.147916066,276049.8511,1,0,17,2
06:04.7,76.81923441,52.75639628,22541312,569344,134722440,2363584,1,-3.822599157,15.21217617,4096,20480,113651,1053250,84.19606091,11.01185622,1.456112241,289662.4745,0,0,17,2
07:02.5,73.16983317,52.08985204,22541312,569344,134769687,2527766,1,-3.649401246,-0.666544232,0,0,47247,164182,80.61337918,11.07771251,1.404684987,303914.8268,0,0,17,2
08:05.2,67.16754386,44.9899565,22541312,569344,134870413,2601126,1,-6.002289307,-7.099895548,0,0,100726,73360,76.11929547,6.629013922,1.492945295,330675.1384,0,0,17,2
09:02.2,62.77277098,53.97699751,22541312,569344,134920484,2662365,1,-4.394772878,8.987041012,0,0,50071,61239,72.1142432,6.94783906,1.162954108,353462.9538,0,0,17,2
10:02.3,54.88787759,56.40499994,22541312,569344,134945671,2698017,1,-7.884893395,2.428002433,0,0,25187,35652,66.963452,4.272702301,0.973103052,403330.9722,0,0,17,2
12:14.0,73.06758625,52.63357859,22541312,569344,134944402,2692477,1,18.17970866,-3.771421357,0,0,-1269,-5540,66.21312237,4.267930679,1.388231395,304334.3673,0,0,17,2
13:28.0,86.65797536,52.63357859,22541312,569344,134944402,2692477,1,13.59038911,-3.771421357,0,0,-1269,-5540,68.91075081,4.267930679,1.388231395,304334.3673,1,0,17,2
14:12.9,92.95761801,49.40748446,20800512,94208,59432,39841,1,6.299642646,-3.771421357,0,0,-1269,-5540,74.06876564,4.267930679,1.881448105,221381.8575,1,0,17,2
15:07.9,95.4764745,58.49796563,20800512,94208,72667,48236,1,2.518856489,9.090481176,0,0,13235,8395,80.60950634,4.267930679,1.632133245,215601.9082,1,0,17,2
16:07.7,93.6988413,45.53081862,20800512,94208,73017,48606,1,-1.777633198,-12.96714702,0,0,350,370,88.37169908,4.267930679,2.057921297,219649.0655,1,0,17,2
17:02.7,82.35698662,30.18029188,20800512,94208,74374,49616,1,-11.34185468,-15.35052673,0,0,1357,1010,90.22957916,4.267930679,2.728833337,249535.316,1,0,17,2
18:02.3,65.41895612,30.46386355,20800512,94208,74434,49676,1,-16.93803049,0.283571671,0,0,60,60,85.98177531,12.33874333,2.147428083,313171.3176,0,0,17,2
25:28.2,99.4924339,38.07134747,19686400,61440,332587,20503,1,34.07347778,7.607483914,-1114112,-32768,258153,-29173,87.28873849,11.85688335,2.613315276,195899.3253,1,0,17,2
26:12.0,99.25675671,41.86442994,20075520,81920,360009,37669,1,-0.235677186,3.793082466,389120,20480,27422,17166,88.04479493,6.829496228,2.370909072,200241.0676,1,0,17,2
27:04.3,97.40875,54.82972517,20075520,81920,361033,38571,1,-1.848006715,12.96529523,0,0,1024,902,88.78677667,10.12752272,1.77656827,204001.3718,1,0,17,2
28:06.5,95.0948522,39.73178973,20075520,81920,374213,46998,1,-2.313897803,-15.09793544,0,0,13180,8427,91.33434979,8.848781973,2.393419799,208913.5842,1,0,17,2
29:02.1,82.25603295,51.14479015,20075520,81920,374799,47442,1,-12.83881925,11.41300043,0,0,586,444,94.70176515,7.414370403,1.608297398,241129.9132,1,0,17,2
30:02.3,64.91332718,34.55586643,20075520,81920,375570,48008,1,-17.34270576,-16.58892373,0,0,771,566,87.78594381,8.357577762,1.878503823,304574.5202,0,0,17,2
31:03.3,53.14577844,35.17926416,20075520,81920,375570,48008,1,-11.76754875,0.623397736,0,0,0,0,78.56374815,9.345982162,1.510713192,370767.9634,0,0,17,2
32:02.8,39.24152047,35.94410315,20075520,81920,375570,48008,1,-13.90425797,0.76483899,0,0,0,0,66.93030225,6.914372422,1.091737365,498875.7822,0,0,17,2
33:03.4,26.66945025,36.15431333,20075520,81920,375720,48158,1,-12.57207021,0.210210176,0,0,150,150,53.24522186,7.043849933,0.737656113,725548.2063,0,0,17,2
48:16.0,26.66945025,36.15431333,20075520,81920,375720,48158,1,-12.57207021,0.210210176,0,0,150,150,53.24522186,7.043849933,0.737656113,725548.2063,0,0,17,2
49:19.8,99.65555556,36.15431333,20075520,81920,375720,48158,1,-12.57207021,0.210210176,0,0,150,150,53.24522186,7.043849933,0.737656113,725548.2063,1,0,17,2
50:04.3,97.60574717,50.85094463,22680576,81920,48955,32708,1,-2.049808389,0.210210176,0,0,150,150,53.24522186,7.043849933,1.919448063,230012.7188,1,0,17,2
51:06.1,94.19334334,59.0167755,22680576,81920,62627,41412,1,-3.412403822,8.165830876,0,0,13672,8704,53.24522186,7.043849933,1.596043541,238258.0042,1,0,17,2
52:04.2,87.97151529,49.4191947,22680576,81920,62627,41412,1,-6.221828051,-9.597580801,0,0,0,0,53.24522186,7.043849933,1.780108232,254919.5203,1,0,17,2
53:01.8,70.92885389,48.71956484,22680576,81920,63984,42422,1,-17.0426614,-0.699629864,0,0,1357,1010,90.07100305,7.043849933,1.455859758,315319.58,0,0,17,2
54:02.7,53.08773666,49.56339147,22680576,81920,64044,42482,1,-17.84111723,0.843826633,0,0,60,60,80.75743927,4.264189062,1.071107829,419329.3601,0,0,17,2
55:02.5,38.13493219,50.07887196,22680576,81920,64044,42482,1,-14.95280447,0.515480488,0,0,0,0,68.86327628,4.307955561,0.761497428,579548.1104,0,0,17,2
56:04.3,25.1742093,44.23362173,22680576,81920,64044,42482,1,-12.96072289,-5.845250232,0,0,0,0,55.05944947,2.380737035,0.569119333,866523.8264,0,0,17,2
57:04.0,30.0709852,42.96535604,22680576,81920,1465112,625622,1,4.896775892,-1.268265689,0,0,1401068,583140,43.47934345,3.273974327,0.699889119,729959.9886,0,0,17,2
58:01.7,30.15895295,44.08862131,22680576,81920,1472097,632203,1,0.08796775,1.123265276,0,0,6985,6581,35.32536326,3.359484746,0.684052983,727899.1704,0,0,17,2
59:03.1,31.6628595,47.76954234,22680576,81920,1662784,724452,1,1.503906556,3.680921022,0,0,190687,92249,31.04038783,2.983358285,0.662825264,694384.2745,0,0,17,2
00:04.0,38.78504618,41.73727257,22680576,81920,10396275,840669,1,7.12218668,-6.032269767,0,0,8733491,116217,31.17041063,2.254777545,0.929266428,570077.9106,0,0,18,2
01:15.8,47.75820048,57.27803341,22680576,81920,10426484,884472,1,8.973154297,15.54076084,0,0,30209,43803,35.68720886,6.293077126,0.833796093,465164.337,0,0,18,2
02:02.3,52.59907721,56.07038547,22680576,81920,10459897,925296,1,4.84087673,-1.207647939,0,0,33413,40824,40.19282726,7.00255935,0.938090166,423152.3597,0,0,18,2
03:03.8,62.31470177,56.02055952,22680576,81920,10468077,975583,1,9.715624559,-0.049825954,0,0,8180,50287,46.62397703,6.774181717,1.112354148,358219.7399,0,0,18,2
04:32.3,73.65241657,45.33082596,22680576,81920,542078065,1581102,1,11.33771481,-10.68973356,0,0,531609988,605519,55.02188844,7.208556478,1.624775525,303815.6973,0,0,18,2
05:03.0,82.9128655,31.27634806,22680576,81920,550274072,1599545,1,9.260448923,-14.05447791,0,0,8196007,18443,63.84745231,11.1265959,2.650976557,270287.2303,1,0,18,2
06:08.9,82.81102714,27.87566932,22680576,81920,550274465,1600183,1,-0.101838357,-3.400678735,0,0,393,638,70.85801764,13.336948,2.970727848,270615.6549,1,0,18,2
07:01.8,78.04256752,40.06362568,22680576,81920,550275615,1600785,1,-4.768459615,12.18795636,0,0,1150,602,75.9467157,11.2707284,1.947965672,286941.2863,0,0,18,2
08:02.3,72.43648231,45.05678322,22680576,81920,550282855,1621013,1,-5.606085212,4.993157542,0,0,7240,20228,77.97107181,7.991805726,1.607670968,308846.1659,0,0,18,2
09:02.0,60.23954631,53.96219657,22680576,81920,550300753,1632101,1,-12.196936,8.905413349,0,0,17898,11088,75.28849776,10.52373774,1.116328655,370358.3283,0,0,18,2
10:02.0,46.38673782,62.01218784,22680576,81920,550302595,1637491,1,-13.85280849,8.049991275,0,0,1842,5390,67.98327222,13.07857317,0.748026145,478627.0809,0,0,18,2
11:01.6,28.78446041,63.08585678,22680576,81920,550302988,1637949,1,-17.60227742,1.073668935,0,0,393,458,57.17795888,10.17570717,0.456274383,761490.2433,0,0,18,2
12:02.2,25.00763134,62.83339762,22680576,81920,550303955,1638575,1,-3.776829067,-0.252459152,0,0,967,626,46.57097164,7.862824796,0.397999031,872073.8811,0,0,18,2
13:02.4,21.15841649,61.83274552,22680576,81920,550311118,1649277,1,-3.849214848,-1.0006521,0,0,7163,10702,36.31535847,3.828720167,0.342187886,1023564.839,0,0,18,2
14:02.6,20.34787572,38.51454367,22680576,81920,550317293,1656287,1,-0.810540773,-23.31820186,0,0,6175,7010,28.33702435,10.71337618,0.528316677,1062427.77,0,0,18,2
15:07.2,32.5851567,30.6366471,22680576,81920,980549500,2165426,1,12.23728098,-7.877896564,0,0,430232207,509139,25.57670813,15.59866936,1.063600615,675315.4735,0,0,18,2
16:24.1,49.6761449,46.75166928,22680576,81920,1022349293,2210459,1,17.0909882,16.11502218,0,0,41799793,45033,29.75504503,14.18033864,1.062553394,447559.2223,0,0,18,2
