timestamp,cpu_usage,memory_usage,disk_read,disk_write,network_receive,network_transmit,active_processes,cpu_change,memory_change,disk_read_speed,disk_write_speed,network_receive_speed,network_transmit_speed,cpu_rolling,memory_std,cpu_mem_ratio,disk_cpu_ratio,high_cpu,high_memory,hour,day_of_week
59:01.7,0.104389252,0.544354707,0.412329864,0.063890204,0.052884123,0.059961931,0,0.310310144,0.585450519,0.472712965,0.085014409,0.773103571,0.801503767,0.095762517,0.012940375,0.028872964,0.207397493,0,0,0.565217391,1
00:03.0,0.097289283,0.543476269,0.412329864,0.063890204,0.05288472,0.060009236,0,0.310960859,0.587677052,0.472712965,0.085014409,0.773103968,0.801533502,0.096404517,0.014247443,0.027043369,0.217388988,0,0,0.608695652,1
01:01.9,0.038033865,0.54261674,0.412329864,0.063890204,0.05288472,0.060009236,0,0.268172279,0.587692593,0.472712965,0.085014409,0.773103506,0.801495583,0.091184898,0.011993309,0.011390584,0.357341893,0,0,0.608695652,1
02:02.0,0.041192585,0.555356668,0.412329864,0.063890204,0.05288472,0.060009236,0,0.319377137,0.598869057,0.472712965,0.085014409,0.773103506,0.801495583,0.078813489,0.01360583,0.011813069,0.345736954,0,0,0.608695652,1
03:01.5,0.041198235,0.556422483,0.412329864,0.063890204,0.052884773,0.060015617,0,0.316790343,0.589274901,0.472712965,0.085014409,0.773103546,0.801500698,0.064490237,0.017860936,0.011780521,0.345716847,0,0,0.608695652,1
04:02.1,0.040170093,0.553702936,0.412329864,0.063890204,0.052884773,0.060015617,0,0.315942215,0.58616397,0.472712965,0.085014409,0.773103506,0.801495583,0.051550261,0.017541044,0.011599237,0.34941324,0,0,0.608695652,1
05:01.5,0.032903468,0.553011875,0.412329864,0.063890204,0.052885216,0.060043523,0,0.310824134,0.587831045,0.472712965,0.085014409,0.773103848,0.801517952,0.038576704,0.014434526,0.009723253,0.377876261,0,0,0.608695652,1
06:02.0,0.029964788,0.553051413,0.412329864,0.063890204,0.052885216,0.060043523,0,0.314374801,0.588431474,0.472712965,0.085014409,0.773103506,0.801495583,0.036950808,0.003830965,0.008954597,0.390695767,0,0,0.608695652,1
07:01.4,0.011519503,0.553892032,0.412329864,0.063890204,0.052885216,0.060043523,0,0.301653108,0.589089827,0.472712965,0.085014409,0.773103506,0.801495583,0.030971767,0.003525063,0.004119053,0.495290792,0,0,0.608695652,1
08:01.9,0.007228685,0.554249596,0.412329864,0.063890204,0.052889119,0.060162976,0,0.3132655,0.588692838,0.472712965,0.085014409,0.773106523,0.801591335,0.024127001,0.001253146,0.002992528,0.52787696,0,0,0.608695652,1
09:01.4,0.01655933,0.554820322,0.412329864,0.063890204,0.052889203,0.060173186,0,0.324440613,0.588868022,0.472712965,0.085014409,0.773103571,0.801503767,0.0193695,0.001888229,0.005412159,0.461694089,0,0,0.608695652,1
10:02.0,0.026944022,0.554323515,0.412329864,0.063890204,0.0528898,0.060217938,0,0.325305358,0.587990688,0.472712965,0.085014409,0.773103968,0.801531456,0.018168688,0.001564966,0.008131244,0.404778822,0,0,0.608695652,1
11:01.4,0.028312137,0.554282258,0.412329864,0.063890204,0.0528898,0.060217938,0,0.317908116,0.588365074,0.472712965,0.085014409,0.773103506,0.801495583,0.017835684,0.000705205,0.008489074,0.398280908,0,0,0.608695652,1
12:01.9,0.027884956,0.553776855,0.412329864,0.063890204,0.0528898,0.060217938,0,0.316435246,0.587983625,0.472712965,0.085014409,0.773103506,0.801495583,0.021133276,0.000806489,0.008391521,0.400288045,0,0,0.608695652,1
13:01.4,0.027448794,0.553933289,0.412329864,0.063890204,0.0528898,0.060217938,0,0.316427878,0.588527543,0.472712965,0.085014409,0.773103506,0.801495583,0.02520757,0.000896751,0.008273462,0.40235766,0,0,0.608695652,1
14:02.3,0.007898108,0.544320325,0.412329864,0.063890204,0.0528898,0.060217938,0,0.300746231,0.580498742,0.472712965,0.085014409,0.773103506,0.801495583,0.023462358,0.011361357,0.003371023,0.522521093,0,0,0.608695652,1
15:01.9,0.011688903,0.544253282,0.412329864,0.063890204,0.052893296,0.060322417,0,0.319895694,0.588343882,0.472712965,0.085014409,0.773106209,0.801579331,0.020388496,0.013872195,0.004374468,0.494084585,0,0,0.608695652,1
16:01.5,0.010067311,0.54420343,0.412329864,0.063890204,0.052893296,0.060322417,0,0.315455346,0.58835801,0.472712965,0.085014409,0.773103506,0.801495583,0.016712216,0.013699337,0.003946899,0.50587115,0,0,0.608695652,1
17:01.9,0.010278678,0.544005738,0.412329864,0.063890204,0.052893296,0.060322417,0,0.316959114,0.588236511,0.472712965,0.085014409,0.773103506,0.801495583,0.013164601,0.011324541,0.004007065,0.504303906,0,0,0.608695652,1
